Перечисление заработной платы за декабрь 2018г.
заработная плата  Сумма 5117-35
Перечисление заработ.плат.за январь 2018г.
Перечисление аванса по зарплате за январь 2019
Аванс зарплаты за январь 2019 г.
Зарплата за декабрь 2018 г. 200000.00
Заработная плата(аванс) за январь  2019г.
Получка за апрель 2019 года
Сидоров з/п за март 2019
Перевод за з.п. за февраль 2019
ЗП за   2018г.  для зачисления на карту N 4590411228393994. Без НДС.
Перечисление аванса за работу за январь 2019
Выплата аванса за февраль
Выплата аванса за март
Выплата аванса за апрель
Выплата аванса за май
Выплата аванса за июнь
Выплата аванса за июль
Выплата аванса за август
Выплата аванса за сентябрь
Выплата аванса за октябрь
Выплата аванса за ноябрь
Выплата аванса за декабрь
Выплата отпускных по договору
